season,batter,as_of,pa_cached,pa_correct_recount,bbc_cached,bbc_naive_recount,bbc_correct,ratio_cached_over_correct,pa_over_attempts_actual
2024,680776,2024-09-15,685,685,917,917,481,1.906,1.424
2024,683002,2024-09-15,672,672,836,836,445,1.879,1.51
2024,596019,2024-09-15,671,671,932,932,479,1.946,1.401
2024,665742,2024-09-15,670,670,741,741,435,1.703,1.54
2025,656941,2025-09-15,681,681,746,746,387,1.928,1.76
2025,596019,2025-09-15,678,678,963,963,477,2.019,1.421
2025,646240,2025-09-15,678,678,849,849,388,2.188,1.747
2025,672695,2025-09-15,671,671,914,914,492,1.858,1.364
2025,677587,2025-09-15,338,338,449,449,241,1.863,1.402
2025,671289,2025-09-15,405,405,589,589,312,1.888,1.298
2025,663886,2025-09-15,316,316,358,358,172,2.081,1.837
2024,671056,2024-09-15,233,233,281,281,160,1.756,1.456
2025,669257,2025-09-15,431,431,539,539,275,1.96,1.567
2024,670032,2024-09-15,423,423,576,576,320,1.8,1.322
2025,690987,2025-09-15,180,180,219,219,119,1.84,1.513
2025,660162,2025-09-15,271,271,308,308,165,1.867,1.642
