game_pk,official_date,season,home_team,away_team,corte,inicio_utc,dif_pitagorica,dif_descanso,n_previos_local,n_previos_visita,p_v1,p_tasa_base,p_mercado,resultado_local,brier_v1,brier_tasa_base,brier_mercado
778545,2025-03-27,2025,San Diego Padres,Atlanta Braves,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,-0.016322559146387694,3.0,162,162,0.31483288416676586,0.5306841046277666,0.457070707070707,1,0.46945397661923255,0.2202574096490411,0.29477221712070206
778546,2025-03-27,2025,Los Angeles Dodgers,Detroit Tigers,2025-03-27T17:00:00+00:00,2025-03-27T23:10:00+00:00,0.04015265807312729,0.0,162,162,0.5738578029909424,0.5306841046277666,0.5911330049261084,1,0.1815971720717065,0.2202574096490411,0.16717221966075368
778551,2025-03-27,2025,St. Louis Cardinals,Minnesota Twins,2025-03-27T17:00:00+00:00,2025-03-27T20:15:00+00:00,-0.018874724671785303,1.0,162,162,0.44354242703481084,0.5306841046277666,0.49234693877551017,1,0.30964503051030884,0.2202574096490411,0.2577116305705956
778552,2025-03-27,2025,Arizona Diamondbacks,Chicago Cubs,2025-03-27T17:00:00+00:00,2025-03-28T02:10:00+00:00,0.014095358166008154,0.0,162,162,0.5473619238376843,0.5306841046277666,0.5355329949238579,0,0.29960507566729094,0.2816256189045743,0.2867955886521168
778553,2025-03-27,2025,Texas Rangers,Boston Red Sox,2025-03-27T17:00:00+00:00,2025-03-27T20:05:00+00:00,-0.02010030416474129,0.0,162,162,0.5122032582488176,0.5306841046277666,0.47328244274809167,0,0.26235217776070496,0.2816256189045743,0.22399627061360067
778554,2025-03-27,2025,Chicago White Sox,Los Angeles Angels,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,-0.04334013530877562,1.0,162,162,0.41877219369607543,0.5306841046277666,0.40640394088669946,1,0.33782576282087246,0.2202574096490411,0.35235628139484093
778555,2025-03-27,2025,Washington Nationals,Philadelphia Phillies,2025-03-27T17:00:00+00:00,2025-03-27T20:05:00+00:00,-0.08831166224581388,1.0,162,162,0.3743724364536107,0.5306841046277666,0.4158415841584158,0,0.14015472117621278,0.2816256189045743,0.17292422311538083
778556,2025-03-27,2025,Toronto Blue Jays,Baltimore Orioles,2025-03-27T17:00:00+00:00,2025-03-27T19:07:00+00:00,-0.020642585220526977,-1.0,162,162,0.5810935853729976,0.5306841046277666,0.5204081632653061,0,0.33766975496164525,0.2816256189045743,0.27082465639316955
778557,2025-03-27,2025,New York Yankees,Milwaukee Brewers,2025-03-27T17:00:00+00:00,2025-03-27T19:05:00+00:00,-0.000597227848754045,-1.0,162,162,0.6010955531656192,0.5306841046277666,0.5675,1,0.1591247577042433,0.2202574096490411,0.18705625
778558,2025-03-27,2025,Kansas City Royals,Cleveland Guardians,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,0.022707279246554135,0.0,162,162,0.5561561261859396,0.5306841046277666,0.6004901960784313,0,0.30930963669415074,0.2816256189045743,0.3605884755863129
778559,2025-03-27,2025,Houston Astros,New York Mets,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,0.013448917361389645,-2.0,162,162,0.6788974390775214,0.5306841046277666,0.5355329949238579,1,0.10310685463097406,0.2202574096490411,0.21572959880440104
778561,2025-03-27,2025,Cincinnati Reds,San Francisco Giants,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,-0.046928380559081107,0.0,162,162,0.4845172027297444,0.5306841046277666,0.49744897959183665,0,0.23475691974105625,0.2816256189045743,0.24745548729695951
778562,2025-03-27,2025,Miami Marlins,Pittsburgh Pirates,2025-03-27T17:00:00+00:00,2025-03-27T20:10:00+00:00,-0.052075318579567265,-1.0,162,162,0.5492096389533846,0.5306841046277666,0.43107769423558895,1,0.20321194961253788,0.2202574096490411,0.323672589996294
778518,2025-03-28,2025,Houston Astros,New York Mets,2025-03-28T17:00:00+00:00,2025-03-29T00:10:00+00:00,0.013896750669327051,0.0,162,162,0.5471587417727258,0.5306841046277666,0.5355329949238579,0,0.29938268869831247,0.2816256189045743,0.2867955886521168
778542,2025-03-28,2025,San Diego Padres,Atlanta Braves,2025-03-28T17:00:00+00:00,2025-03-29T01:40:00+00:00,-0.008862516629817407,0.0,162,162,0.5237879786050756,0.5306841046277666,0.5664160401002506,1,0.2267778893210399,0.2202574096490411,0.1879950502823475
778543,2025-03-28,2025,Arizona Diamondbacks,Chicago Cubs,2025-03-28T17:00:00+00:00,2025-03-29T01:40:00+00:00,0.016516202685942782,0.0,162,162,0.5498372396625919,0.5306841046277666,0.57,1,0.20264651079459473,0.2202574096490411,0.18490000000000004
778544,2025-03-28,2025,Los Angeles Dodgers,Detroit Tigers,2025-03-28T17:00:00+00:00,2025-03-29T02:10:00+00:00,0.03734805644790462,0.0,162,162,0.5710235149469743,0.5306841046277666,0.6651480637813212,1,0.18402082472844875,0.2202574096490411,0.11212581918939814
