game_pk,official_date,season,home_team,away_team,corte,y,dif_concentracion,hhi_local,hhi_visita,brazos_local,brazos_visita,dif_carga_relevo,p_v12,p_v16,p_mercado,brier_v12,brier_v16,brier_mercado,delta_brier_v16_v12
778546,2025-03-27,2025,Los Angeles Dodgers,Detroit Tigers,2025-03-27T17:00:00+00:00,1,-0.019174187412132282,0.12899758129535072,0.148171768707483,9,10,-0.46,0.5726155684042844,0.5757372157335553,0.5911330049261084,0.1826574523703929,0.1799989101135158,0.16717221966075368,-0.0026585422568771166
778551,2025-03-27,2025,St. Louis Cardinals,Minnesota Twins,2025-03-27T17:00:00+00:00,1,0.13610611071746237,0.22664359861591696,0.09053748789845459,5,12,-0.99,0.442826315682242,0.4261411220138115,0.49234693877551017,0.31044251449622456,0.3293140118435672,0.2577116305705956,0.018871497347342614
778552,2025-03-27,2025,Arizona Diamondbacks,Chicago Cubs,2025-03-27T17:00:00+00:00,0,-0.0038560882078706588,0.11359968702626046,0.11745577523413112,10,11,-1.05,0.546250820569289,0.5463381162200189,0.5355329949238579,0.29838995897262155,0.2984853372348389,0.2867955886521168,9.537826221733825e-05
778553,2025-03-27,2025,Texas Rangers,Boston Red Sox,2025-03-27T17:00:00+00:00,0,0.11219871357013156,0.23986600925891077,0.12766729568877921,8,11,-0.03,0.5112777807203782,0.4869163450997652,0.47328244274809167,0.26140496905835514,0.23708752712531367,0.22399627061360067,-0.024317441933041473
778554,2025-03-27,2025,Chicago White Sox,Los Angeles Angels,2025-03-27T17:00:00+00:00,1,0.028202295004759265,0.19916955017301038,0.17096725516825112,6,7,-0.56,0.418201758951867,0.4241324660771649,0.40640394088669946,0.3384891932867015,0.33162341662636763,0.35235628139484093,-0.006865776660333889
778557,2025-03-27,2025,New York Yankees,Milwaukee Brewers,2025-03-27T17:00:00+00:00,1,-0.11276490038902873,0.21046373365041618,0.3232286340394449,5,4,-0.16,0.599901172759703,0.6102548505531886,0.5675,0.160079071559061,0.15190128151731733,0.18705625,-0.008177790041743682
778558,2025-03-27,2025,Kansas City Royals,Cleveland Guardians,2025-03-27T17:00:00+00:00,0,0.024541780877436734,0.14487276392038295,0.12033098304294622,8,9,-0.05,0.5550005626775429,0.5490721337026012,0.6004901960784313,0.30802562457238924,0.3014802080087272,0.3605884755863129,-0.006545416563662032
778561,2025-03-27,2025,Cincinnati Reds,San Francisco Giants,2025-03-27T17:00:00+00:00,0,0.07288117452863502,0.21940540922251256,0.14652423469387754,5,8,0.07,0.48374493145840386,0.4679226283269191,0.49744897959183665,0.23400915871169584,0.21895158610037208,0.24745548729695951,-0.01505757261132376
778562,2025-03-27,2025,Miami Marlins,Pittsburgh Pirates,2025-03-27T17:00:00+00:00,1,0.08656073769242492,0.2583333333333333,0.17177259564090838,4,6,-0.21,0.5482674722516281,0.5172015846742407,0.43107769423558895,0.2040622766259336,0.23309430984106436,0.323672589996294,0.02903203321513076
778518,2025-03-28,2025,Houston Astros,New York Mets,2025-03-28T17:00:00+00:00,0,-0.4430270014034459,0.14377855415210966,0.5868055555555556,8,2,1.35,0.5460486759840009,0.6360381219600038,0.5355329949238579,0.2981691565438804,0.4045444925864086,0.2867955886521168,0.10637533604252825
778542,2025-03-28,2025,San Diego Padres,Atlanta Braves,2025-03-28T17:00:00+00:00,1,0.011277105586579572,0.2059882776640068,0.19471117207742722,6,8,-0.43,0.5228000764268287,0.5198111683480976,0.5664160401002506,0.22771976705824054,0.23058131404321908,0.1879950502823475,0.0028615469849785358
778543,2025-03-28,2025,Arizona Diamondbacks,Chicago Cubs,2025-03-28T17:00:00+00:00,1,-0.09902010065309472,0.15869208433278628,0.257712184985881,9,6,0.41,0.54871353364825,0.5687186711019283,0.57,0.20365947471224916,0.18600358465608668,0.18490000000000004,-0.01765589005616247
778544,2025-03-28,2025,Los Angeles Dodgers,Detroit Tigers,2025-03-28T17:00:00+00:00,1,-0.14926569804876685,0.13272976680384088,0.28199546485260774,9,5,0.3,0.5697948890063012,0.5997387394040495,0.6651480637813212,0.18507643752510075,0.16020907673385937,0.11212581918939814,-0.024867360791241383
778548,2025-03-28,2025,Miami Marlins,Pittsburgh Pirates,2025-03-28T17:00:00+00:00,0,-0.1156929581186418,0.1610939357907253,0.2767868939093671,7,5,0.58,0.4779835881686444,0.5021956976961135,0.42750000000000005,0.22846831055857225,0.25220051878448624,0.18275625000000004,0.023732208225913987
778549,2025-03-28,2025,Toronto Blue Jays,Baltimore Orioles,2025-03-28T17:00:00+00:00,1,-0.11464039168792037,0.242529927420115,0.3571703191080354,5,3,0.52,0.5002731183068728,0.5241322141970565,0.5454545454545454,0.24972695628673672,0.22645014956499615,0.20661157024793392,-0.023276806721740567
778550,2025-03-28,2025,Texas Rangers,Boston Red Sox,2025-03-28T17:00:00+00:00,1,0.15415491853768928,0.281698171132845,0.12754325259515573,6,11,-0.19,0.5109018780490435,0.47764244282810325,0.49109414758269715,0.2392169728959527,0.2728574175345914,0.2589851666245817,0.03364044463863872
778520,2025-03-29,2025,San Diego Padres,Atlanta Braves,2025-03-29T17:00:00+00:00,1,-0.02651149861011512,0.17239110769989857,0.1989026063100137,7,6,1.1,0.5219037234902097,0.5269289645211438,0.4193548387096774,0.2285760496125258,0.22379620460903724,0.33714880332986474,-0.004779845003488575
778528,2025-03-29,2025,St. Louis Cardinals,Minnesota Twins,2025-03-29T17:00:00+00:00,1,-0.02653659119897961,0.2346938775510204,0.26123046875,5,4,0.06,0.5143784978741925,0.5194574673058772,0.5025510204081632,0.23582824332692562,0.23092112572808213,0.24745548729695963,-0.004907117598843491
778529,2025-03-29,2025,Kansas City Royals,Cleveland Guardians,2025-03-29T17:00:00+00:00,1,0.012379248057130865,0.2241125813904642,0.21173333333333333,5,5,-0.06,0.5529402787757441,0.5495776920204185,0.5228426395939086,0.19986239434110936,0.20288025552565297,0.22767914658970856,0.003017861184543613
778530,2025-03-29,2025,Houston Astros,New York Mets,2025-03-29T17:00:00+00:00,1,0.03305642397217484,0.21941043083900225,0.1863540068668274,6,6,-0.12,0.5447952991841906,0.5371031417421954,0.5241730279898218,0.20721131964481057,0.21427350138494602,0.2264113072923749,0.007062181740135454
778531,2025-03-29,2025,Texas Rangers,Boston Red Sox,2025-03-29T17:00:00+00:00,1,-0.06149932484567899,0.1591796875,0.220679012345679,7,5,0.56,0.5099516850452218,0.5224738731025611,0.5165394402035622,0.24014735099001747,0.2280312018696689,0.23373411287868498,-0.012116149120348557
778532,2025-03-29,2025,Arizona Diamondbacks,Chicago Cubs,2025-03-29T17:00:00+00:00,0,0.05647175832666895,0.25953969112433145,0.2030679327976625,6,6,-0.19,0.54924719331115,0.536598770485605,0.5253807106598984,0.30167247936017577,0.287938240486663,0.27602489113349993,-0.013734238873512772
778533,2025-03-29,2025,Los Angeles Dodgers,Detroit Tigers,2025-03-29T17:00:00+00:00,1,-0.021420558608539725,0.1763366503626244,0.1977572089711641,7,6,0.48,0.5753313647927528,0.5788979461531133,0.6621004566210046,0.180343449728786,0.17732693975406627,0.1141761014157336,-0.003016509974719722
778534,2025-03-29,2025,Chicago White Sox,Los Angeles Angels,2025-03-29T17:00:00+00:00,0,-0.44497095596422653,0.2521626297577855,0.697133585722012,4,2,0.25,0.4949322748008795,0.5880765347697803,0.4054054054054054,0.2449579566395733,0.3458340107468326,0.16435354273192107,0.10087605410725933
778535,2025-03-29,2025,Washington Nationals,Philadelphia Phillies,2025-03-29T17:00:00+00:00,0,-0.04819240321402482,0.23340000000000002,0.28159240321402484,5,4,0.26,0.44122157510887683,0.45120043599918347,0.4054054054054054,0.19467647834155824,0.20358183344585326,0.16435354273192107,0.00890535510429502
778536,2025-03-29,2025,Toronto Blue Jays,Baltimore Orioles,2025-03-29T17:00:00+00:00,0,-0.012627317176316738,0.1781939388623306,0.19082125603864733,7,6,0.13,0.5072788538830034,0.5094484188369507,0.5429292929292929,0.2573318355968535,0.2595376914554691,0.29477221712070195,0.002205855858615602
778537,2025-03-29,2025,Tampa Bay Rays,Colorado Rockies,2025-03-29T17:00:00+00:00,0,0.06430555555555556,0.3993055555555555,0.33499999999999996,3,3,0.08,0.5878447511578625,0.5735996373175329,0.6276849642004773,0.3455614514638493,0.3290165439308053,0.3939884142833544,-0.016544907533043995
